id,name,address,city,cuisine
100,fleur de lys, 777 sutter st., san francisco, french
101,fringale, 570 4th st., san francisco, french
102,hawthorne lane, 22 hawthorne st., san francisco, american
103,khan toke thai house, 5937 geary blvd., san francisco, asian
104,la folie, 2316 polk st., san francisco, french
105,lulu, 816 folsom st., san francisco, mediterranean
106,masa's, 648 bush st., san francisco, french
107,mifune japan center  kintetsu building, 1737 post st., san francisco, asian
108,plumpjack cafe, 3201 fillmore st., san francisco, mediterranean
109,postrio, 545 post st., san francisco, american
110,ritz-carlton restaurant and dining room, 600 stockton st., san francisco, american
111,rose pistola, 532 columbus ave., san francisco, italian
112,adriano's ristorante, 2930 beverly glen circle, los angeles, italian
113,barney greengrass, 9570 wilshire blvd., beverly hills, american
114,beaurivage, 26025 pacific coast hwy., malibu, french
115,bistro garden, 176 n. canon dr., los angeles, californian
116,border grill, 4th st., los angeles, mexican
117,broadway deli, 3rd st. promenade, santa monica, american
118,ca'brea, 346 s. la brea ave., los angeles, italian
119,ca'del sol, 4100 cahuenga blvd., los angeles, italian
120,cafe pinot, 700 w. fifth st., los angeles, californian
121,california pizza kitchen, 207 s. beverly dr., los angeles, californian
122,canter's, 419 n. fairfax ave., los angeles, american
123,cava, 3rd st., los angeles, mediterranean
124,cha cha cha, 656 n. virgil ave., los angeles, caribbean
125,chan dara, 310 n. larchmont blvd., los angeles, asian
126,clearwater cafe, 168 w. colorado blvd., los angeles, health food
127,dining room, 9500 wilshire blvd., los angeles, californian
128,dive!, 10250 santa monica blvd., los angeles, dive american
129,drago, 2628 wilshire blvd., santa monica, italian
130,drai's, 730 n. la cienega blvd., los angeles, french
131,dynasty room, 930 hilgard ave., los angeles, continental
132,eclipse, 8800 melrose ave., los angeles, californian
133,ed debevic's, 134 n. la cienega, los angeles, american
134,el cholo, 1121 s. western ave., los angeles, mexican
135,gilliland's, 2424 main st., santa monica, american
136,gladstone's, 4 fish 17300 pacific coast hwy. at sunset blvd., pacific palisades, american
137,hard rock cafe, 8600 beverly blvd., los angeles, american
138,harry's bar & american grill, 2020 ave. of the stars, los angeles, italian
139,il fornaio cucina italiana, 301 n. beverly dr., los angeles, italian
140,jack sprat's grill, 10668 w. pico blvd., los angeles, health food
141,jackson's farm, 439 n. beverly drive, los angeles, californian
142,jimmy's, 201 moreno dr., los angeles, continental
143,joss, 9255 sunset blvd., los angeles, asian
144,le colonial, 8783 beverly blvd., los angeles, asian
145,le dome, 8720 sunset blvd., los angeles, french
146,louise's trattoria, 4500 los feliz blvd., los angeles, italian
147,mon kee seafood restaurant, 679 n. spring st., los angeles, asian
148,morton's, 8764 melrose ave., los angeles, american
149,nate 'n' al's, 414 n. beverly dr., los angeles, american
150,nicola, 601 s. figueroa st., los angeles, american
151,ocean avenue, 1401 ocean ave., santa monica, american
152,orleans, 11705 national blvd., los angeles, cajun
153,pacific dining car, 6th st., los angeles, american
154,paty's, 10001 riverside dr., toluca lake, american
155,pinot hollywood, 1448 n. gower st., los angeles, californian
156,posto, 14928 ventura blvd., sherman oaks, italian
157,prego, 362 n. camden dr., los angeles, italian
158,rj's the rib joint, 252 n. beverly dr., los angeles, american
159,remi, 3rd st. promenade, santa monica, italian
160,restaurant horikawa, 111 s. san pedro st., los angeles, asian
161,roscoe's house of chicken 'n' waffles, 1514 n. gower st., los angeles, american
162,schatzi on main, 3110 main st., los angeles, continental
163,sofi, 3rd st., los angeles, mediterranean
164,swingers, 8020 beverly blvd., los angeles, american
165,tavola calda, 7371 melrose ave., los angeles, italian
166,the mandarin, 430 n. camden dr., los angeles, asian
167,tommy tang's, 7313 melrose ave., los angeles, asian
168,tra di noi, 3835 cross creek rd., los angeles, italian
169,trader vic's, 9876 wilshire blvd., los angeles, asian
170,vida, 1930 north hillhurst ave., los feliz, american
171,west beach cafe, 60 n. venice blvd., los angeles, american
172,20 mott, 20 mott st.  between bowery and pell st., new york, asian
173,9 jones street, 9 jones st., new york, american
174,adrienne, 700 5th ave. at 55th st., new york, french
175,agrotikon, 322 e. 14 st.  between 1st and 2nd aves., new york, mediterranean
176,aja, 937 broadway at 22nd st., new york, american
177,alamo, 304 e. 48th st., new york, mexican
178,alley's end, 311 w. 17th st., new york, american
179,ambassador grill, 1 united nations plaza at 44th st., new york, american
180,american place, 2 park ave. at 32nd st., new york, american
181,anche vivolo, 222 e. 58th st.  between 2nd and 3rd aves., new york, italian
182,arizona, 206 206 e. 60th st., new york, american
183,arturo's, 106 w. houston st.  off thompson st., new york, italian
184,au mandarin, 200-250 vesey st. world financial center, new york, asian
185,bar anise, 1022 3rd ave.  between 60th and 61st sts., new york, mediterranean
186,barbetta, 321 w. 46th st., new york, italian
187,ben benson's, 123 w. 52nd st., new york, american
188,big cup, 228 8th ave.  between 21st and 22nd sts., new york, coffee bar
189,billy's, 948 1st ave.  between 52nd and 53rd sts., new york, american
190,boca chica, 13 1st ave.  near 1st st., new york, latin american
191,bolo, 23 e. 22nd st., new york, mediterranean
192,boonthai, 1393a 2nd ave.  between 72nd and 73rd sts., new york, asian
193,bouterin, 420 e. 59th st.  off 1st ave., new york, french
194,brothers bar-b-q, 225 varick st. at clarkston st., new york, american
195,bruno, 240 e. 58th st., new york, italian
196,bryant park grill  roof restaurant and bp cafe, 25 w. 40th st.  between 5th and 6th aves., new york, american
197,c3, 103 waverly pl.  near washington sq., new york, american
198,ct, 111 e. 22nd st.  between park ave. s and lexington ave., new york, french
199,cafe bianco, 1486 2nd ave.  between 77th and 78th sts., new york, coffee bar
200,cafe botanica, 160 central park s, new york, french
201,cafe la fortuna, 69 w. 71st st., new york, coffee bar
202,cafe luxembourg, 200 w. 70th st., new york, french
203,cafe pierre, 2 e. 61st st., new york, french
204,cafe centro, 200 park ave.  between 45th st. and vanderbilt ave., new york, french
205,cafe fes, 246 w. 4th st. at charles st., new york, mediterranean
206,caffe dante, 81 macdougal st.  between houston and bleeker sts., new york, coffee bar
207,caffe dell'artista, 46 greenwich ave., new york, coffee bar
208,caffe lure, 169 sullivan st.  between houston and bleecker sts., new york, french
209,caffe reggio, 119 macdougal st.  between 3rd and bleecker sts., new york, coffee bar
210,caffe roma, 385 broome st. at mulberry, new york, coffee bar
211,caffe vivaldi, 32 jones st. at bleecker st., new york, coffee bar
212,caffe bondi ristorante, 7 w. 20th st., new york, italian
213,capsouto freres, 451 washington st.  near watts st., new york, french
214,captain's table, 860 2nd ave. at 46th st., new york, seafood
215,casa la femme, 150 wooster st.  between houston and prince sts., new york, middle eastern
216,cendrillon asian grill & marimba bar, 45 mercer st.  between broome and grand sts., new york, asian
217,chez jacqueline, 72 macdougal st.  between w. houston and bleecker sts., new york, french
218,chiam, 160 e. 48th st., new york, asian
219,china grill, 60 w. 53rd st., new york, american
220,cite, 120 w. 51st st., new york, french
221,coco pazzo, 23 e. 74th st., new york, italian
222,columbus bakery, 53rd sts., new york, coffee bar
223,corrado cafe, 1013 3rd ave.  between 60th and 61st sts., new york, coffee bar
224,cupcake cafe, 522 9th ave. at 39th st., new york, coffee bar
225,da nico, 164 mulberry st.  between grand and broome sts., new york, italian
226,dean & deluca, 121 prince st., new york, coffee bar
227,diva, 341 w. broadway  near grand st., new york, italian
228,dix et sept, 181 w. 10th st., new york, french
229,docks, 633 3rd ave. at 40th st., new york, seafood
230,duane park cafe, 157 duane st.  between w. broadway and hudson st., new york, american
231,el teddy's, 219 w. broadway  between franklin and white sts., new york, mexican
232,emily's, 1325 5th ave. at 111th st., new york, american
233,empire korea, 6 e. 32nd st., new york, asian
234,ernie's, 2150 broadway  between 75th and 76th sts., new york, american
235,evergreen cafe, 1288 1st ave. at 69th st., new york, asian
236,f. ille ponte ristorante, 39 desbrosses st.  near west st., new york, italian
237,felix, 340 w. broadway at grand st., new york, french
238,ferrier, 29 e. 65th st., new york, french
239,fifty seven fifty seven, 57 e. 57th st., new york, american
240,film center cafe, 635 9th ave.  between 44th and 45th sts., new york, american
241,fiorello's roman cafe, 1900 broadway  between 63rd and 64th sts., new york, italian
242,firehouse, 522 columbus ave.  between 85th and 86th sts., new york, american
243,first, 87 1st ave.  between 5th and 6th sts., new york, american
244,fishin eddie, 73 w. 71st st., new york, seafood
245,fleur de jour, 348 e. 62nd st., new york, coffee bar
246,flowers, 21 west 17th st.  between 5th and 6th aves., new york, american
247,follonico, 6 w. 24th st., new york, italian
248,fraunces tavern, 54 pearl st. at broad st., new york, american
249,french roast, 458 6th ave. at 11th st., new york, french
250,french roast cafe, 2340 broadway at 85th st., new york, coffee bar
251,frico bar, 402 w. 43rd st.  off 9th ave., new york, italian
252,fujiyama mama, 467 columbus ave.  between 82nd and 83rd sts., new york, asian
253,gabriela's, 685 amsterdam ave. at 93rd st., new york, mexican
254,gallagher's, 228 w. 52nd st., new york, american
255,gianni's, 15 fulton st., new york, seafood
256,girafe, 208 e. 58th st.  between 2nd and 3rd aves., new york, italian
257,global, 33 93 2nd ave.  between 5th and 6th sts., new york, american
258,golden unicorn, 18 e. broadway at catherine st., new york, asian
259,grand ticino, 228 thompson st.  between w. 3rd and bleecker sts., new york, italian
260,halcyon, 151 w. 54th st.  in the rihga royal hotel, new york, american
261,hard rock cafe, 221 w. 57th st., new york, american
262,hi-life restaurant and lounge, 1340 1st ave. at 72nd st., new york, american
263,home, 20 cornelia st.  between bleecker and w. 4th st., new york, american
264,hudson river club, 4 world financial center, new york, american
265,i trulli, 122 e. 27th st.  between lexington and park aves., new york, italian
266,il cortile, 125 mulberry st.  between canal and hester sts., new york, italian
267,il nido, 251 e. 53rd st., new york, italian
268,inca grill, 492 broome st.  near w. broadway, new york, latin american
269,indochine, 430 lafayette st.  between 4th st. and astor pl., new york, asian
270,internet cafe, 82 e. 3rd st.  between 1st and 2nd aves., new york, coffee bar
271,ipanema, 13 w. 46th st., new york, latin american
272,jean lafitte, 68 w. 58th st., new york, french
273,jewel of india, 15 w. 44th st., new york, asian
274,jimmy sung's, 219 e. 44th st.  between 2nd and 3rd aves., new york, asian
275,joe allen, 326 w. 46th st., new york, american
276,judson grill, 152 w. 52nd st., new york, american
277,l'absinthe, 227 e. 67th st., new york, french
278,l'auberge, 1191 1st ave.  between 64th and 65th sts., new york, middle eastern
279,l'auberge du midi, 310 w. 4th st.  between w. 12th and bank sts., new york, french
280,l'udo, 432 lafayette st.  near astor pl., new york, french
281,la reserve, 4 w. 49th st., new york, french
282,lanza restaurant, 168 1st ave.  between 10th and 11th sts., new york, italian
283,lattanzi ristorante, 361 w. 46th st., new york, italian
284,layla, 211 w. broadway at franklin st., new york, middle eastern
285,le chantilly, 106 e. 57th st., new york, french
286,le colonial, 149 e. 57th st., new york, asian
287,le gamin, 50 macdougal st.  between houston and prince sts., new york, coffee bar
288,le jardin, 25 cleveland pl.  near spring st., new york, french
289,le madri, 168 w. 18th st., new york, italian
290,le marais, 150 w. 46th st., new york, american
291,le perigord, 405 e. 52nd st., new york, french
292,le select, 507 columbus ave.  between 84th and 85th sts., new york, american
293,les halles, 411 park ave. s  between 28th and 29th sts., new york, french
294,lincoln tavern, 51 w. 64th st., new york, american
295,lola, 30 west 22nd st.  between 5th and 6th ave., new york, american
296,lucky strike, 59 grand st.  between wooster st. and w. broadway, new york, or 212/941-0772 american
297,mad fish, 2182 broadway  between 77th and 78th sts., new york, seafood
298,main street, 446 columbus ave.  between 81st and 82nd sts., new york, american
299,mangia e bevi, 800 9th ave. at 53rd st., new york, italian
300,manhattan cafe, 1161 1st ave.  between 63rd and 64th sts., new york, american
301,manila garden, 325 e. 14th st.  between 1st and 2nd aves., new york, asian
302,marichu, 342 e. 46th st.  between 1st and 2nd aves., new york, french
303,marquet patisserie, 15 e. 12th st.  between 5th ave. and university pl., new york, coffee bar
304,match, 160 mercer st.  between houston and prince sts., new york, american
305,matthew's, 1030 3rd ave. at 61st st., new york, american
306,mavalli palace, 46 e. 29th st., new york, asian
307,milan cafe and coffee bar, 120 w. 23rd st., new york, coffee bar
308,monkey bar, 60 e. 54th st., new york, american
309,montien, 1134 1st ave.   between 62nd and 63rd sts., new york, asian
310,morton's, 551 5th ave. at 45th st., new york, american
311,motown cafe, 104 w. 57th st.  near 6th ave., new york, american
312,new york kom tang soot bul house, 32 w. 32nd st., new york, asian
313,new york noodletown, 28 1/2 bowery at bayard st., new york, asian
314,newsbar, 2 w. 19th st., new york, coffee bar
315,odeon, 145 w. broadway at thomas st., new york, american
316,orso, 322 w. 46th st., new york, italian
317,osteria al droge, 142 w. 44th st., new york, italian
318,otabe, 68 e. 56th st., new york, asian
319,pacifica, 138 lafayette st.  between canal and howard sts., new york, asian
320,palio, 151 w. 51st. st., new york, italian
321,pamir, 1065 1st ave.  at 58th st., new york, middle eastern
322,parioli romanissimo, 24 e. 81st st., new york, italian
323,patria, 250 park ave. s at 20th st., new york, latin american
324,peacock alley, 301 park ave.  between 49th and 50th sts., new york, french
325,pen & pencil, 205 e. 45th st., new york, american
326,penang soho, 109 spring st.  between greene and mercer sts., new york, asian
327,persepolis, 1423 2nd ave.  between 74th and 75th sts., new york, middle eastern
328,planet hollywood, 140 w. 57th st., new york, american
329,pomaire, 371 w. 46th st.  off 9th ave., new york, latin american
330,popover cafe, 551 amsterdam ave.  between 86th and 87th sts., new york, american
331,post house, 28 e. 63rd st., new york, american
332,rain, 100 w. 82nd st., new york, asian
333,red tulip, 439 e. 75th st., new york, eastern european
334,remi, 145 w. 53rd st., new york, italian
335,republic, 37a union sq. w  between 16th and 17th sts., new york, asian
336,roettelle a. g, 126 e. 7th st.  between 1st ave. and ave. a, new york, continental
337,rosa mexicano, 1063 1st ave. at 58th st., new york, mexican
338,ruth's chris, 148 w. 51st st., new york, american
339,s.p.q.r, 133 mulberry st.  between hester and grand sts., new york, italian
340,sal anthony's, 55 irving pl., new york, italian
341,sammy's roumanian steak house, 157 chrystie st. at delancey st., new york, east european
342,san pietro, 18 e. 54th st., new york, italian
343,sant ambroeus, 1000 madison ave.  between 77th and 78th sts., new york, coffee bar
344,sarabeth's kitchen, 423 amsterdam ave.  between 80th and 81st sts., new york, american
345,sea grill, 19 w. 49th st., new york, seafood
346,serendipity, 3 225 e. 60th st., new york, american
347,seventh regiment mess and bar, 643 park ave. at 66th st., new york, american
348,sfuzzi, 58 w. 65th st., new york, american
349,shaan, 57 w. 48th st., new york, asian
350,sofia fabulous pizza, 1022 madison ave.  near 79th st., new york, italian
351,spring street natural restaurant & bar, 62 spring st. at lafayette st., new york, american
352,stage deli, 834 7th ave.  between 53rd and 54th sts., new york, delicatessen
353,stingray, 428 amsterdam ave.  between 80th and 81st sts., new york, seafood
354,sweet'n'tart cafe, 76 mott st. at canal st., new york, asian
355,t salon, 143 mercer st. at prince st., new york, coffee bar
356,tang pavillion, 65 w. 55th st., new york, asian
357,tapika, 950 8th ave. at 56th st., new york, american
358,teresa's, 103 1st ave.  between 6th and 7th sts., new york, east european
359,terrace, 400 w. 119th st.  between amsterdam and morningside aves., new york, continental
360,the coffee pot, 350 9th ave. at 49th st., new york, coffee bar
361,the savannah club, 2420 broadway at 89th st., new york, american
362,trattoria dell'arte, 900 7th ave.  between 56th and 57th sts., new york, italian
363,triangolo, 345 e. 83rd st., new york, italian
364,tribeca grill, 375 greenwich st.  near franklin st., new york, american
365,trois jean, 154 e. 79th st.  between lexington and 3rd aves., new york, coffee bar
366,tse yang, 34 e. 51st st., new york, asian
367,turkish kitchen, 386 3rd ave.  between 27th and 28th sts., new york, middle eastern
368,two two two, 222 w. 79th st., new york, american
369,veniero's pasticceria, 342 e. 11th st.  near 1st ave., new york, coffee bar
370,verbena, 54 irving pl. at 17th st., new york, american
371,victor's cafe, 52 236 w. 52nd st., new york, latin american
372,vince & eddie's, 70 w. 68th st., new york, american
373,vong, 200 e. 54th st., new york, american
374,water club, 500 e. 30th st., new york, american
375,west, 63rd street steakhouse 44 w. 63rd st., new york, american
376,xunta, 174 1st ave.  between 10th and 11th sts., new york, mediterranean
377,zen palate, 34 union sq. e at 16th st., new york, and 212/614-9345 asian
378,zoe, 90 prince st.  between broadway and mercer st., new york, american
379,abbey, 163 ponce de leon ave., atlanta, international
380,aleck's barbecue heaven, 783 martin luther king jr. dr., atlanta, barbecue
381,annie's thai castle, 3195 roswell rd., atlanta, asian
382,anthonys, 3109 piedmont rd.  just south of peachtree rd., atlanta, american
383,atlanta fish market, 265 pharr rd., atlanta, american
384,beesley's of buckhead, 260 e. paces ferry road, atlanta, continental
385,bertolini's, 3500 peachtree rd.  phipps plaza, atlanta, italian
386,bistango, 1100 peachtree st., atlanta, mediterranean
387,cafe renaissance, 7050 jimmy carter blvd.  norcross, atlanta, american
388,camille's, 1186 n. highland ave., atlanta, italian
389,cassis, 3300 peachtree rd.  grand hyatt, atlanta, mediterranean
390,city grill, 50 hurt plaza, atlanta, international
391,coco loco, 40  buckhead crossing mall on the sidney marcus blvd., atlanta, caribbean
392,colonnade restaurant, 1879 cheshire bridge rd., atlanta, southern
393,dante's down the hatch  buckhead, 3380 peachtree rd., atlanta, continental
394,dante's down the hatch, underground underground mall  underground atlanta, atlanta, continental
395,fat matt's rib shack, 1811 piedmont ave.  near cheshire bridge rd., atlanta, barbecue
396,french quarter food shop, 923 peachtree st.  at 8th st., atlanta, southern
397,holt bros. bar-b-q, 6359 jimmy carter blvd.  at buford hwy.  norcross, atlanta, barbecue
398,horseradish grill, 4320 powers ferry rd., atlanta, southern
399,hsu's gourmet, 192 peachtree center ave.  at international blvd., atlanta, asian
400,imperial fez, 2285 peachtree rd.  peachtree battle condominium, atlanta, mediterranean
401,kamogawa, 3300 peachtree rd.  grand hyatt, atlanta, asian
402,la grotta at ravinia dunwoody rd., holiday inn/crowne plaza at ravinia  dunwoody, atlanta, italian
403,little szechuan, c buford hwy.  northwoods plaza  doraville, atlanta, asian
404,lowcountry barbecue, 6301 roswell rd.  sandy springs plaza  sandy springs, atlanta, barbecue
405,luna si, 1931 peachtree rd., atlanta, continental
406,mambo restaurante cubano, 1402 n. highland ave., atlanta, caribbean
407,mckinnon's louisiane, 3209 maple dr., atlanta, southern
408,mi spia dunwoody rd., park place  across from perimeter mall  dunwoody, atlanta, italian
409,nickiemoto's: a sushi bar, 247 buckhead ave.  east village sq., atlanta, fusion
410,palisades, 1829 peachtree rd., atlanta, continental
411,pleasant peasant, 555 peachtree st.  at linden ave., atlanta, american
412,pricci, 500 pharr rd., atlanta, italian
413,r.j.'s uptown kitchen & wine bar, 870 n. highland ave., atlanta, american
414,rib ranch, 25 irby ave., atlanta, barbecue
415,sa tsu ki, 3043 buford hwy., atlanta, asian
416,sato sushi and thai, 6050 peachtree pkwy.  norcross, atlanta, asian
417,south city kitchen, 1144 crescent ave., atlanta, southern
418,south of france, 2345 cheshire bridge rd., atlanta, french
419,stringer's fish camp and oyster bar, 3384 shallowford rd.  chamblee, atlanta, southern
420,sundown cafe, 2165 cheshire bridge rd., atlanta, american
421,taste of new orleans, 889 w. peachtree st., atlanta, southern
422,tomtom, 3393 peachtree rd., atlanta, continental
423,antonio's, 3700 w. flamingo, las vegas, italian
424,bally's big kitchen, 3645 las vegas blvd. s, las vegas, buffets
425,bamboo garden, 4850 flamingo rd., las vegas, asian
426,battista's hole in the wall, 4041 audrie st. at flamingo rd., las vegas, italian
427,bertolini's, 3570 las vegas blvd. s, las vegas, italian
428,binion's coffee shop, 128 fremont st., las vegas, coffee shops/diners
429,bistro, 3400 las vegas blvd. s, las vegas, continental
430,broiler, 4111 boulder hwy., las vegas, american
431,bugsy's diner, 3555 las vegas blvd. s, las vegas, coffee shops/diners
432,cafe michelle, 1350 e. flamingo rd., las vegas, american
433,cafe roma, 3570 las vegas blvd. s, las vegas, coffee shops/diners
434,capozzoli's, 3333 s. maryland pkwy., las vegas, italian
435,carnival world, 3700 w. flamingo rd., las vegas, buffets
436,center stage plaza hotel, 1 main st., las vegas, american
437,circus circus, 2880 las vegas blvd. s, las vegas, buffets
438,empress court, 3570 las vegas blvd. s, las vegas, asian
439,feast, 2411 w. sahara ave., las vegas, buffets
440,golden nugget hotel, 129 e. fremont st., las vegas, buffets
441,golden steer, 308 w. sahara ave., las vegas, steak houses
442,lillie langtry's, 129 e. fremont st., las vegas, asian
443,mandarin court, 1510 e. flamingo rd., las vegas, asian
444,margarita's mexican cantina, 3120 las vegas blvd. s, las vegas, mexican
445,mary's diner, 5111 w. boulder hwy., las vegas, coffee shops/diners
446,mikado, 3400 las vegas blvd. s, las vegas, asian
447,pamplemousse, 400 e. sahara ave., las vegas, continental
448,ralph's diner, 3000 las vegas blvd. s, las vegas, coffee shops/diners
449,the bacchanal, 3570 las vegas blvd. s, las vegas, only in las vegas
450,venetian, 3713 w. sahara ave., las vegas, italian
451,viva mercado's, 6182 w. flamingo rd., las vegas, mexican
452,yolie's, 3900 paradise rd., las vegas, steak houses
453,2223, 2223 market st., san francisco, american
454,acquarello, 1722 sacramento st., san francisco, italian
455,bardelli's, 243 o'farrell st., san francisco, old san francisco
456,betelnut, 2030 union st., san francisco, asian
457,bistro roti, 155 steuart st., san francisco, french
458,bix, 56 gold st., san francisco, american
459,bizou, 598 fourth st., san francisco, french
460,buca giovanni, 800 greenwich st., san francisco, italian
461,cafe adriano, 3347 fillmore st., san francisco, italian
462,cafe marimba, 2317 chestnut st., san francisco, mexican/latin american/spanish
463,california culinary academy, 625 polk st., san francisco, french
464,capp's corner, 1600 powell st., san francisco, italian
465,carta, 1772 market st., san francisco, american
466,chevys, 4th and howard sts., san francisco, mexican/latin american/spanish
467,cypress club, 500 jackson st., san francisco, american
468,des alpes, 732 broadway, san francisco, french
469,faz, 161 sutter st., san francisco, greek and middle eastern
470,fog city diner, 1300 battery st., san francisco, american
471,garden court, market and new montgomery sts., san francisco, old san francisco
472,gaylord's, ghirardelli sq., san francisco, asian
473,grand cafe hotel monaco, 501 geary st., san francisco, american
474,greens, bldg. a fort mason, san francisco, vegetarian
475,harbor village, 4 embarcadero center, san francisco, asian
476,harris', 2100 van ness ave., san francisco, steak houses
477,harry denton's, 161 steuart st., san francisco, american
478,hayes street grill, 320 hayes st., san francisco, seafood
479,helmand, 430 broadway, san francisco, greek and middle eastern
480,hong kong flower lounge, 5322 geary blvd., san francisco, asian
481,hong kong villa, 2332 clement st., san francisco, asian
482,hyde street bistro, 1521 hyde st., san francisco, italian
483,il fornaio levi's plaza, 1265 battery st., san francisco, italian
